status,gender,car,realty,children_count,income_amount,income_type,education_type,family_status,housing_type,work_phone,phone,email,occupation_type,family_members,age,working_yr
0.0,M,Y,N,0,119250.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,48.0,1.0
0.0,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2.0,42.0,0.0
1.0,F,N,Y,1,763097.836900482,Commercial associate,Higher education,Single / not married,House / apartment,0,0,0,Managers,2.0,27.43461004158577,2.0
1.0,M,N,N,1,360000.0,Working,Higher education,Married,House / apartment,1,1,0,Managers,3.0,30.0,1.0
1.0,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,50.0,17.671288357439742
0.0,F,Y,Y,0,373500.0,Working,Secondary / secondary special,Widow,House / apartment,0,0,0,Accountants,1.0,56.0,4.0
1.0,F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,0,High skill tech staff,1.0,32.19961568364359,3.9500960790891018
1.0,F,N,N,0,169811.81714100856,Commercial associate,Incomplete higher,Single / not married,House / apartment,1,1,0,Core staff,1.0,35.97738160126869,3.6965688946400483
1.0,M,Y,Y,2,315000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Laborers,1.0,32.0,0.0
1.0,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Security staff,2.0,49.23774264794874,2.4405643380128144
0.0,F,N,N,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Nan,2.0,54.0,12.0
1.0,M,N,N,1,360000.0,Working,Higher education,Married,House / apartment,1,1,0,Managers,3.0,33.078310093364976,4.078310093364977
0.0,F,N,Y,1,382500.0,State servant,Higher education,Single / not married,With parents,0,0,0,Managers,2.0,33.0,1.0
0.0,F,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,High skill tech staff,1.0,62.0,7.0
0.0,F,Y,Y,1,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Nan,3.0,42.0,5.0
0.0,F,Y,Y,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Medicine staff,3.0,37.0,10.0
1.0,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Accountants,3.0,33.486615290557005,8.0
1.0,F,N,Y,0,81000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Nan,2.0,37.805184640333785,0.3117045754659422
0.0,F,N,N,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Nan,2.0,61.0,6.0
0.0,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,46.0,1.0
1.0,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,52.64588235836988,11.127899151133045
1.0,F,N,Y,1,202500.0,Working,Higher education,Married,House / apartment,0,1,0,Nan,2.0,26.3757234578342,6.499035389554398
1.0,F,N,Y,1,781796.0359247599,Commercial associate,Higher education,Single / not married,House / apartment,0,0,0,Managers,2.0,35.86529730564301,1.6716556553465551
1.0,M,Y,N,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,4.0,38.763908214804275,7.236091785195725
1.0,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Managers,2.0,35.136280802323846,6.431859598838077
0.0,F,Y,N,0,144000.0,Working,Secondary / secondary special,Widow,House / apartment,0,0,0,HR staff,1.0,39.0,3.0
1.0,M,N,Y,0,270000.0,Commercial associate,Incomplete higher,Married,House / apartment,0,0,0,Sales staff,2.0,35.0,6.0
0.0,M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Drivers,1.0,40.0,2.0
0.0,F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2.0,54.0,0.0
1.0,F,N,Y,0,157500.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2.0,50.02928153005823,18.94875732239811
1.0,F,N,Y,0,93551.45564720528,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Nan,2.0,58.892123660456164,2.4215752679087674
1.0,F,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Sales staff,2.0,47.47186572865267,0.735932864326335
0.0,F,N,N,0,234000.0,State servant,Higher education,Civil marriage,House / apartment,0,0,1,Core staff,2.0,60.0,14.0
1.0,F,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2.0,33.0,1.6307428258330496
1.0,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,0,1,0,Core staff,1.0,50.056466465429914,0.5282332327149584
0.0,M,Y,Y,1,292500.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Nan,3.0,34.0,9.0
0.0,F,N,Y,0,382500.0,Working,Secondary / secondary special,Widow,House / apartment,1,0,0,Private service staff,1.0,50.0,14.0
0.0,F,Y,N,0,360000.0,Working,Higher education,Married,House / apartment,0,0,1,Accountants,2.0,42.0,1.0
1.0,M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Laborers,3.0,34.4914522666085,0.2542738666957516
0.0,F,N,Y,0,252000.0,State servant,Higher education,Widow,House / apartment,0,0,0,Managers,1.0,45.0,22.0
0.0,F,N,N,0,180000.0,Working,Incomplete higher,Married,House / apartment,0,0,0,Laborers,2.0,53.0,5.0
1.0,M,N,N,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,2.0,28.419222362876727,2.193592545707757
1.0,F,N,N,0,171000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Cleaning staff,2.0,39.48869461675249,2.8295648722508293
1.0,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Nan,3.0,51.783486623980046,18.5526588544878
1.0,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,28.923997785846698,0.0
1.0,F,Y,N,0,180000.0,Working,Higher education,Married,House / apartment,1,1,0,Managers,2.0,36.39526316270369,3.6722966511548814
1.0,F,Y,Y,0,225000.0,Working,Secondary / secondary special,Widow,House / apartment,0,0,0,Sales staff,1.0,48.013876532724304,7.760407399543227
1.0,F,Y,Y,0,72365.59945409243,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Nan,2.0,41.56871026192155,0.8936875544481566
0.0,F,N,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Core staff,3.0,41.0,2.0
1.0,M,Y,N,0,157500.0,Working,Incomplete higher,Married,With parents,1,0,0,Drivers,2.0,29.356805680636064,1.1071990532273226
0.0,F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,1,1,0,Cleaning staff,3.0,43.0,17.0
0.0,M,Y,Y,0,405000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Drivers,2.0,44.0,1.0
0.0,F,N,Y,1,234000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Core staff,2.0,56.0,22.0
1.0,F,N,Y,1,202500.0,Working,Incomplete higher,Married,House / apartment,0,1,0,Sales staff,2.0,28.843125208588702,2.764687812883051
0.0,M,Y,N,0,310500.0,Working,Higher education,Single / not married,House / apartment,0,0,0,Laborers,1.0,27.0,1.0
0.0,F,Y,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Nan,2.0,39.0,6.0
1.0,M,N,Y,0,207000.0,State servant,Higher education,Married,House / apartment,0,0,0,Core staff,2.0,40.0,8.982275414123855
1.0,M,N,N,0,170597.15004193896,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Laborers,2.0,41.87996647095156,3.984744341927007
1.0,M,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,27.2489963118528,1.4979926237056018
0.0,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Drivers,1.0,24.0,2.0
0.0,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,0,1,0,High skill tech staff,4.0,37.0,8.0
0.0,M,N,Y,2,225000.0,State servant,Higher education,Married,House / apartment,0,0,0,Nan,4.0,35.0,12.0
0.0,F,N,Y,0,121500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,2.0,48.0,8.0
1.0,F,N,Y,0,225000.0,Working,Secondary / secondary special,Widow,House / apartment,0,0,0,Sales staff,1.0,52.321749939536865,3.3912503023156875
1.0,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Nan,3.0,27.03941489240935,2.9868617025302164
1.0,F,Y,Y,1,269368.93347565207,Working,Higher education,Married,House / apartment,0,0,0,Accountants,3.0,27.42071101623197,1.7011850270532847
0.0,M,N,N,2,225000.0,Working,Higher education,Civil marriage,House / apartment,1,0,0,Laborers,4.0,45.0,8.0
0.0,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Sales staff,2.0,26.0,3.0
0.0,F,Y,Y,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Nan,2.0,57.0,6.0
1.0,F,N,Y,0,92007.12575436242,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Nan,2.0,57.12219561789711,5.877804382102891
0.0,M,Y,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Laborers,2.0,36.0,11.0
0.0,M,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,0,0,0,Managers,2.0,57.0,14.0
1.0,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,3.0,28.01883307459715,4.523541343246438
0.0,F,N,Y,0,121500.0,Commercial associate,Higher education,Single / not married,Rented apartment,1,0,0,Sales staff,1.0,30.0,10.0
1.0,F,Y,N,0,78616.19240630302,Working,Higher education,Married,House / apartment,1,0,0,Low-skill Laborers,2.0,50.35132489589223,5.827085229037084
0.0,F,N,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,High skill tech staff,4.0,33.0,3.0
1.0,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,46.58623103070889,2.8620770102362965
0.0,M,N,Y,2,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Laborers,3.0,31.0,11.0
0.0,F,Y,N,0,247500.0,State servant,Higher education,Single / not married,House / apartment,1,0,0,Managers,1.0,46.0,11.0
0.0,F,N,Y,2,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,Sales staff,4.0,41.0,8.0
1.0,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,50.0,19.0
1.0,F,Y,N,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,38.0,8.0
1.0,F,N,Y,0,202500.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Core staff,1.0,38.0,2.0
0.0,F,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,Core staff,3.0,28.0,2.0
1.0,M,Y,Y,0,202262.7692399654,Working,Higher education,Married,House / apartment,0,0,0,Drivers,2.0,47.868205133314106,8.197692300028836
0.0,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Sales staff,2.0,56.0,2.0
0.0,M,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,43.0,3.0
1.0,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Nan,2.0,44.680587584753056,12.0
0.0,F,Y,Y,1,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,42.0,6.0
1.0,F,Y,N,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4.0,38.0,8.0
0.0,F,N,Y,0,292500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,Sales staff,2.0,51.0,13.0
1.0,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Cooking staff,2.0,51.0,2.0
1.0,F,N,Y,1,588122.5176256772,Commercial associate,Higher education,Single / not married,House / apartment,0,0,0,Managers,2.0,27.990087245632772,2.0
1.0,F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,44.0,22.0
0.0,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2.0,48.0,11.0
1.0,M,Y,Y,3,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,1.0,36.67580260558958,1.153158441899566
0.0,M,Y,N,0,180000.0,Working,Higher education,Separated,House / apartment,0,0,0,Laborers,1.0,33.0,14.0
0.0,F,N,Y,0,675000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Nan,2.0,49.0,18.0
1.0,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Nan,2.0,29.30595909301653,5.923510226745868
1.0,F,N,Y,0,65856.7844721181,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,3.0,50.926968198760804,10.926968198760806
1.0,M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,1,0,0,Nan,3.0,34.29149223090801,9.0
0.0,F,Y,Y,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Laborers,1.0,36.0,7.0
0.0,F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,1,0,Laborers,1.0,37.0,2.0
1.0,M,N,Y,1,180000.0,Working,Incomplete higher,Married,House / apartment,1,0,0,Nan,3.0,32.28922790672341,8.289227906723415
1.0,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,42.0,5.070269217605109
0.0,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Nan,2.0,53.0,27.0
0.0,F,N,N,0,225000.0,Working,Secondary / secondary special,Widow,House / apartment,0,0,0,Accountants,1.0,56.0,15.0
0.0,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,With parents,1,1,0,Medicine staff,2.0,42.0,23.0
0.0,M,N,Y,3,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,5.0,38.0,7.0
1.0,M,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Nan,3.0,42.26065373539498,3.0
1.0,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,0,0,0,Laborers,2.0,27.0,6.0
0.0,F,N,Y,1,270000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Medicine staff,3.0,34.0,14.0
1.0,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,Accountants,2.0,30.0,4.0
0.0,M,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,46.0,3.0
0.0,M,Y,Y,2,189000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,Drivers,4.0,37.0,2.0
0.0,M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,32.0,4.0
0.0,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2.0,45.0,10.0
1.0,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Nan,3.0,42.0,6.781772921731191
1.0,M,Y,N,0,157500.0,Working,Incomplete higher,Married,With parents,1,0,0,Drivers,2.0,24.0,2.0
1.0,M,N,N,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,3.0,28.367376886647385,3.265246226705231
1.0,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,0,1,0,Core staff,2.0,36.97937864498248,5.5309320325262785
0.0,M,N,Y,0,103500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Laborers,1.0,54.0,2.0
0.0,M,Y,N,0,360000.0,State servant,Higher education,Married,House / apartment,0,0,0,Nan,2.0,27.0,5.0
0.0,F,N,Y,0,110250.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,1,Nan,2.0,48.0,6.0
1.0,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,3.0,42.0,11.0
0.0,F,Y,Y,0,90000.0,Working,Higher education,Married,Co-op apartment,0,0,0,Nan,2.0,46.0,6.0
1.0,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3.0,36.36042580883777,6.040638713256648
0.0,F,N,N,2,180000.0,State servant,Higher education,Married,House / apartment,0,0,0,Managers,4.0,37.0,14.0
0.0,F,N,Y,1,252000.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Medicine staff,2.0,50.0,20.0
0.0,F,N,Y,1,315000.0,Working,Higher education,Married,House / apartment,0,0,0,Managers,3.0,31.0,3.0
1.0,F,N,Y,0,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2.0,52.90396040356732,7.53861387142309
0.0,M,Y,Y,0,360000.0,Working,Incomplete higher,Married,House / apartment,1,1,0,Sales staff,2.0,27.0,0.0
0.0,F,N,N,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Nan,2.0,51.0,29.0
1.0,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,47.307460020044125,1.6149200400882529
1.0,M,N,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,37.497667775560025,3.5471507086836187
1.0,F,N,Y,0,81000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Nan,2.0,37.58931425377115,0.6570971939661607
0.0,M,Y,N,0,450000.0,Working,Higher education,Married,House / apartment,1,1,0,Core staff,2.0,31.0,10.0
0.0,F,N,N,1,292500.0,Working,Incomplete higher,Married,House / apartment,1,1,0,Sales staff,3.0,34.0,11.0
1.0,M,N,Y,0,270000.0,Working,Higher education,Single / not married,House / apartment,0,0,0,Sales staff,1.0,28.0,2.0
1.0,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Nan,2.0,45.69823854028851,8.857926568701732
0.0,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2.0,48.0,3.0
0.0,M,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,3.0,34.0,1.0
1.0,F,N,Y,0,43292.664249267116,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,2.0,47.913256304659804,8.292664249267112
0.0,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,37.0,8.0
1.0,M,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,With parents,1,0,0,Drivers,1.0,27.545161075955644,3.2709664557338654
1.0,M,N,N,0,644685.3593792404,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Managers,2.0,26.636526759203637,3.817964321061819
1.0,M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,28.78002850126549,2.186685667510327
1.0,M,N,N,0,135000.0,Working,Secondary / secondary special,Civil marriage,With parents,0,0,0,Laborers,2.0,41.0,4.0
1.0,F,N,Y,3,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,5.0,33.0,1.0
0.0,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,Accountants,2.0,53.0,4.0
1.0,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,45.45962002005168,1.6161519919793281
0.0,M,Y,N,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,Drivers,2.0,43.0,6.0
0.0,M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Managers,2.0,34.0,7.0
1.0,F,N,Y,1,202500.0,Working,Higher education,Married,House / apartment,0,1,0,Accountants,2.0,29.0,3.6528524445685124
0.0,F,N,N,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,2.0,50.0,4.0
1.0,M,Y,Y,1,450000.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,Core staff,1.0,49.0,1.0
0.0,F,Y,N,1,225000.0,Working,Higher education,Married,With parents,0,0,0,Secretaries,3.0,30.0,5.0
1.0,F,Y,N,2,162000.0,Commercial associate,Incomplete higher,Married,House / apartment,1,1,0,Core staff,4.0,26.0,2.0
0.0,M,N,Y,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,Security staff,1.0,41.0,3.0
1.0,F,N,N,0,89109.10160080553,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Secretaries,2.0,35.38584195430251,6.771683908605009
0.0,M,N,N,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Security staff,2.0,29.0,2.0
0.0,F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Sales staff,2.0,49.0,1.0
1.0,F,N,N,0,225000.0,Working,Secondary / secondary special,Widow,House / apartment,0,0,0,Security staff,1.0,52.779789528426,4.6101052357870005
0.0,M,Y,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,3.0,32.0,0.0
1.0,M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,31.17940286762949,4.1794028676294905
1.0,F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2.0,34.75725079166231,1.0504833861108205
1.0,M,Y,N,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,4.0,39.13803091519664,12.033783593623545
1.0,F,N,N,1,130500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Accountants,3.0,31.0,4.0
1.0,F,N,Y,0,225000.0,Working,Secondary / secondary special,Widow,House / apartment,0,0,0,Sales staff,1.0,53.85743855846984,3.4297542338793523
0.0,M,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Security staff,3.0,30.0,0.0
0.0,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2.0,51.0,10.0
0.0,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,3.0,32.0,9.0
0.0,F,N,N,1,135000.0,Working,Higher education,Married,With parents,0,0,0,Secretaries,3.0,28.0,1.0
1.0,M,N,Y,0,270000.0,Working,Higher education,Single / not married,House / apartment,0,0,0,Sales staff,1.0,28.0,2.0
0.0,F,N,N,2,72000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,4.0,34.0,6.0
1.0,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2.0,46.273384239498554,15.10935369579942
0.0,M,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,3.0,29.0,7.0
1.0,F,N,Y,3,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,5.0,33.0,1.0
0.0,F,Y,N,1,225000.0,Commercial associate,Higher education,Civil marriage,With parents,0,1,1,Accountants,3.0,27.0,1.0
0.0,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,47.0,3.0
1.0,M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,34.190258709644816,7.380517419289638
0.0,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Nan,1.0,27.0,4.0
1.0,M,Y,Y,0,322659.1551743101,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,3.0,36.89389655045996,12.106103449540045
0.0,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,48.0,6.0
0.0,F,N,Y,1,247500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Managers,3.0,43.0,6.0
0.0,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,2.0,53.0,6.0
0.0,F,N,N,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,Sales staff,1.0,29.0,1.0
1.0,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,1,1,0,Laborers,1.0,40.54007404738244,5.080148094764876
1.0,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,0,1,0,Core staff,2.0,40.07986830418981,4.924385912973248
0.0,M,Y,Y,4,157500.0,Working,Higher education,Married,House / apartment,0,0,0,Managers,6.0,31.0,4.0
1.0,F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,High skill tech staff,2.0,54.76929944262407,4.0
1.0,M,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,27.645464482775978,0.9030236781493468
1.0,F,N,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,3.0,36.349150082783126,2.2358357024595534
1.0,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2.0,49.0,9.0
